id,title,time,director,year,star,cost
1,The Adventures Of Shark Boy And Lava Girl    ,"1 hour, 33 minutes",Robert Rodriguez,2005,"Taylor Lautner, Taylor Dooley","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $12.99,"
2,Game of Thrones   ,"April 12, 2015",Michael Slovis,2015,53 minutes,"Buy SD $2.99,Buy HD $38.99,Buy SD $28.99,"
3,Captain America: The Winter Soldier  (Plus Bonus Features)    ,"2 hours, 37 minutes",Anthony Russo,2014,"Chris Evans, Samuel L. Jackson","Buy HD $19.99,Buy SD $14.99,"
4,Harry Potter and the Deathly Hallows: Part 1    ,"2 hours, 26 minutes",David Yates,2010,"Bill Nighy, Emma Watson","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
5,Minority Report   ,"September 21, 2015",,2015,,"Buy SD $1.99,Buy HD $24.99,Buy SD $19.99,"
6,Guardians of the Galaxy (Theatrical)    ,"2 hours, 1 minute",James Gunn,2014,"Chris Pratt, Zoe Saldana","Buy HD $19.99,Buy SD $14.99,"
7,Person of Interest   ,44 minutes,Richard J. Lewis,2014,"Jim Caviezel, Kevin Chapman","Buy SD $1.99,Buy HD $34.99,Buy SD $34.99,"
8,Fast & Furious 6    ,"2 hours, 11 minutes",Justin Lin,2013,"Vin Diesel, Paul Walker","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
9,Apollo 13    ,"2 hours, 21 minutes",Ron Howard,2008,"Tom Hanks, Bill Paxton","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
10,The Big Lebowski    ,"1 hour, 58 minutes",Joel Coen,1998,"Jeff Bridges, John Goodman","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
11,Ultimate Avengers The Movie    ,"1 hour, 12 minutes",Curt Geda,2006,"Justin Gross, Grey Griffin","Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
12,The Veteran    ,"1 hour, 39 minutes",Matthew Hope,2012,"Toby Kebbell, Adi Bielski","Buy SD $5.99,"
13,Divergent (Plus Bonus Features)    ,"3 hours, 7 minutes",Neil Burger,2014,"Shailene Woodley, Theo James","Buy HD $19.99,Buy SD $14.99,"
14,Captain America: The Winter Soldier (Theatrical)    ,"2 hours, 16 minutes",Anthony Russo,2014,"Chris Evans, Samuel L. Jackson","Buy HD $19.99,Buy SD $14.99,"
15,The X-Files    ,"2 hours, 2 minutes",Rob Bowman,1998,"David Duchovny, Gillian Anderson","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
16,Casablanca    ,"1 hour, 43 minutes",Michael Curtiz,1942,"Humphrey Bogart, Ingrid Bergman","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
17,"Petra, Israel's Secret Hiding Place - Bible Prophecy Revealed    ",,,2001,,"Buy SD $5.99,"
18,Sherlock Holmes: A Game Of Shadows    ,"2 hours, 9 minutes",Guy Ritchie,2011,"Robert Downey Jr., Jude Law","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
19,The Lord of the Rings: The Return of the King    ,"3 hours, 21 minutes",Peter Jackson,2003,"Noel Appleby, Ali Astin","Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
20,Star Wars Trilogy (A New Hope / The Empire Strikes Back / Return of the Jedi) (Widescreen Edition with Bonus Disc) , 388 minutes ,George Lucas,"  September 21, 2004",Mark Hamill,$99.98
21,[Featurette] Harry Potter Years 1 - 5   ,,,,,
22,Idiocracy , 84 minutes ,Mike Judge,"  January 9, 2007",Luke Wilson,$5.00
23,,,,,,
24,Kino's Journey   ,25 minutes,Kyle Jones,2004,"Kelli Cousins, Ai Maeda","Buy SD $24.99,"
